time ,strain(micro),F
0,-3767.022166,1.135566334
4.00E-07,-3767.151093,1.107853738
0.0000008,-3767.281135,1.080208352
1.20E-06,-3767.412143,1.052640081
0.0000016,-3767.543961,1.02515876
2.00E-06,-3767.676431,0.997774144
0.0000024,-3767.809391,0.970495902
2.80E-06,-3767.942677,0.943333605
0.0000032,-3768.07612,0.916296726
3.60E-06,-3768.20955,0.889394625
0.000004,-3768.342795,0.862636546
4.40E-06,-3768.475677,0.836031609
0.0000048,-3768.608019,0.809588804
5.20E-06,-3768.73964,0.783316982
0.0000056,-3768.870358,0.757224849
6.00E-06,-3768.999989,0.731320963
0.0000064,-3769.128346,0.705613722
6.80E-06,-3769.255243,0.680111363
0.0000072,-3769.380491,0.654821953
7.60E-06,-3769.503901,0.629753385
0.000008,-3769.625282,0.604913371
8.40E-06,-3769.744443,0.580309438
0.0000088,-3769.861194,0.555948924
9.20E-06,-3769.975343,0.53183897
0.0000096,-3770.086699,0.507986517
1.00E-05,-3770.195072,0.484398305
0.0000104,-3770.300272,0.461080863
1.08E-05,-3770.40211,0.438040508
0.0000112,-3770.500398,0.415283342
1.16E-05,-3770.59495,0.392815249
0.000012,-3770.685582,0.37064189
1.24E-05,-3770.77211,0.348768699
0.0000128,-3770.854355,0.327200884
1.32E-05,-3770.932139,0.305943425
0.0000136,-3771.005287,0.285001065
1.40E-05,-3771.073628,0.264378316
0.0000144,-3771.136994,0.244079453
1.48E-05,-3771.19522,0.224108515
0.0000152,-3771.248146,0.204469302
1.56E-05,-3771.295616,0.185165374
0.000016,-3771.337479,0.166200051
1.64E-05,-3771.373588,0.147576414
0.0000168,-3771.403802,0.129297303
1.72E-05,-3771.427986,0.111365318
0.0000176,-3771.44601,0.093782817
1.80E-05,-3771.45775,0.076551921
0.0000184,-3771.463089,0.059674511
1.88E-05,-3771.461917,0.043152231
0.0000192,-3771.454131,0.026986487
1.96E-05,-3771.439634,0.011178451
0.00002,-3771.418339,-0.004270937
2.04E-05,-3771.390164,-0.019360971
0.0000208,-3771.355038,-0.034091172
2.12E-05,-3771.312897,-0.04846129
0.0000216,-3771.263687,-0.062471297
2.20E-05,-3771.20736,-0.07612139
0.0000224,-3771.143881,-0.089411983
2.28E-05,-3771.073222,-0.102343706
0.0000232,-3770.995367,-0.114917401
2.36E-05,-3770.910309,-0.127134122
0.000024,-3770.81805,-0.138995125
2.44E-05,-3770.718605,-0.150501872
0.0000248,-3770.611999,-0.161656019
2.52E-05,-3770.498267,-0.17245942
0.0000256,-3770.377456,-0.182914115
2.60E-05,-3770.249625,-0.193022335
0.0000264,-3770.114844,-0.202786487
2.68E-05,-3769.973196,-0.212209157
0.0000272,-3769.824773,-0.221293105
2.76E-05,-3769.669684,-0.230041256
0.000028,-3769.508046,-0.238456698
2.84E-05,-3769.33999,-0.246542678
0.0000288,-3769.165662,-0.254302596
2.92E-05,-3768.985217,-0.261739997
0.0000296,-3768.798825,-0.268858572
