time ,strain(micro),F
0,-4130.474018,1.20100357
4.00E-07,-4137.869101,1.173264215
0.0000008,-4145.249822,1.145569765
1.20E-06,-4152.612692,1.117930393
0.0000016,-4159.954217,1.090356226
2.00E-06,-4167.2709,1.06285734
0.0000024,-4174.559243,1.035443751
2.80E-06,-4181.815753,1.00812541
0.0000032,-4189.036938,0.980912191
3.60E-06,-4196.219318,0.953813886
0.000004,-4203.35942,0.926840198
4.40E-06,-4210.453789,0.900000732
0.0000048,-4217.498982,0.87330499
5.20E-06,-4224.491578,0.846762361
0.0000056,-4231.428178,0.820382118
6.00E-06,-4238.305407,0.794173406
0.0000064,-4245.119917,0.768145241
6.80E-06,-4251.868394,0.742306499
0.0000072,-4258.547553,0.716665911
7.60E-06,-4265.154148,0.691232059
0.000008,-4271.68497,0.666013366
8.40E-06,-4278.136855,0.641018095
0.0000088,-4284.506678,0.616254337
9.20E-06,-4290.791367,0.591730012
0.0000096,-4296.987895,0.567452859
1.00E-05,-4303.093291,0.543430435
0.0000104,-4309.104636,0.519670104
1.08E-05,-4315.019071,0.49617904
0.0000112,-4320.833797,0.472964217
1.16E-05,-4326.546077,0.450032406
0.000012,-4332.15324,0.427390171
1.24E-05,-4337.652682,0.405043866
0.0000128,-4343.04187,0.382999632
1.32E-05,-4348.318343,0.361263388
0.0000136,-4353.479716,0.339840838
1.40E-05,-4358.52368,0.318737457
0.0000144,-4363.448005,0.297958496
1.48E-05,-4368.250545,0.277508975
0.0000152,-4372.929235,0.257393684
1.56E-05,-4377.482097,0.237617179
0.000016,-4381.907243,0.21818378
1.64E-05,-4386.202871,0.199097569
0.0000168,-4390.367272,0.18036239
1.72E-05,-4394.398833,0.161981847
0.0000176,-4398.296034,0.143959303
1.80E-05,-4402.057452,0.126297879
0.0000184,-4405.681764,0.109000453
1.88E-05,-4409.167746,0.092069663
0.0000192,-4412.514277,0.075507899
1.96E-05,-4415.72034,0.059317314
0.00002,-4418.785019,0.043499813
2.04E-05,-4421.707509,0.028057063
0.0000208,-4424.487108,0.012990487
2.12E-05,-4427.123226,-0.001698733
0.0000216,-4429.615379,-0.016009652
2.20E-05,-4431.963196,-0.029941566
0.0000224,-4434.166417,-0.043494007
2.28E-05,-4436.224892,-0.056666743
0.0000232,-4438.138587,-0.069459776
2.36E-05,-4439.907581,-0.081873337
0.000024,-4441.532065,-0.093907889
2.44E-05,-4443.012349,-0.105564123
0.0000248,-4444.348853,-0.116842954
2.52E-05,-4445.542118,-0.127745517
0.0000256,-4446.592797,-0.138273169
2.60E-05,-4447.50166,-0.148427485
0.0000264,-4448.269595,-0.158210249
2.68E-05,-4448.897605,-0.167623458
0.0000272,-4449.386807,-0.176669318
2.76E-05,-4449.738437,-0.185350234
0.000028,-4449.953846,-0.193668815
2.84E-05,-4450.034499,-0.201627863
0.0000288,-4449.981977,-0.209230375
2.92E-05,-4449.797976,-0.216479534
0.0000296,-4449.484305,-0.22337871
3.00E-05,-4449.042885,-0.229931452
0.0000304,-4448.475752,-0.236141484
3.08E-05,-4447.785051,-0.242012702
