time ,strain(micro),F
0,-6342.325524,-1.296580481
4.00E-07,-6293.337689,-1.271784335
0.0000008,-6244.306509,-1.247035691
1.20E-06,-6195.250389,-1.222343272
0.0000016,-6146.187763,-1.197715755
2.00E-06,-6097.137083,-1.173161765
0.0000024,-6048.116807,-1.148689864
2.80E-06,-5999.145378,-1.124308553
0.0000032,-5950.241217,-1.100026257
3.60E-06,-5901.422703,-1.075851326
0.000004,-5852.708162,-1.051792022
4.40E-06,-5804.115852,-1.027856522
0.0000048,-5755.66395,-1.004052903
5.20E-06,-5707.370535,-0.980389142
0.0000056,-5659.253577,-0.95687311
6.00E-06,-5611.330923,-0.933512564
0.0000064,-5563.62028,-0.910315145
6.80E-06,-5516.139208,-0.887288369
0.0000072,-5468.905098,-0.864439626
7.60E-06,-5421.935167,-0.841776172
0.000008,-5375.246441,-0.819305128
8.40E-06,-5328.85574,-0.797033469
0.0000088,-5282.779672,-0.774968027
9.20E-06,-5237.034614,-0.753115483
0.0000096,-5191.636705,-0.731482363
1.00E-05,-5146.60183,-0.710075034
0.0000104,-5101.945611,-0.688899701
1.08E-05,-5057.683395,-0.667962404
0.0000112,-5013.830244,-0.647269013
1.16E-05,-4970.400921,-0.626825228
0.000012,-4927.409886,-0.606636571
1.24E-05,-4884.871277,-0.586708387
0.0000128,-4842.79891,-0.567045841
1.32E-05,-4801.206262,-0.547653913
0.0000136,-4760.106465,-0.528537401
1.40E-05,-4719.512299,-0.509700912
0.0000144,-4679.436178,-0.491148866
1.48E-05,-4639.890151,-0.472885491
0.0000152,-4600.885886,-0.454914821
1.56E-05,-4562.434666,-0.437240699
0.000016,-4524.547384,-0.419866771
1.64E-05,-4487.234533,-0.402796487
0.0000168,-4450.506205,-0.386033101
1.72E-05,-4414.372078,-0.369579668
0.0000176,-4378.841419,-0.353439045
1.80E-05,-4343.923074,-0.337613893
0.0000184,-4309.625464,-0.322106672
1.88E-05,-4275.956582,-0.306919645
0.0000192,-4242.92399,-0.292054876
1.96E-05,-4210.534816,-0.277514233
0.00002,-4178.795749,-0.263299385
2.04E-05,-4147.713038,-0.249411805
0.0000208,-4117.292491,-0.23585277
2.12E-05,-4087.539473,-0.222623365
0.0000216,-4058.458902,-0.209724477
2.20E-05,-4030.055255,-0.197156806
0.0000224,-4002.332559,-0.184920857
2.28E-05,-3975.294398,-0.173016949
0.0000232,-3948.94391,-0.161445212
2.36E-05,-3923.283791,-0.150205591
0.000024,-3898.316292,-0.139297848
2.44E-05,-3874.043222,-0.128721564
0.0000248,-3850.465954,-0.11847614
2.52E-05,-3827.585421,-0.1085608
0.0000256,-3805.402124,-0.098974595
2.60E-05,-3783.916132,-0.089716403
0.0000264,-3763.127087,-0.080784936
2.68E-05,-3743.034207,-0.072178735
0.0000272,-3723.636291,-0.063896182
2.76E-05,-3704.931723,-0.055935497
0.000028,-3686.918476,-0.048294743
2.84E-05,-3669.594119,-0.040971827
0.0000288,-3652.95582,-0.033964508
2.92E-05,-3637.000355,-0.027270396
0.0000296,-3621.72411,-0.020886958
3.00E-05,-3607.123092,-0.014811517
0.0000304,-3593.19293,-0.009041262
3.08E-05,-3579.928888,-0.003573246
0.0000312,-3567.325867,0.001595606
3.16E-05,-3555.378416,0.006468497
0.000032,-3544.080736,0.011048753
3.24E-05,-3533.426691,0.015339818
0.0000328,-3523.409816,0.019345253
3.32E-05,-3514.023323,0.023068729
0.0000336,-3505.26011,0.026514025
3.40E-05,-3497.112771,0.029685025
0.0000344,-3489.573604,0.032585712
3.48E-05,-3482.634621,0.035220165
0.0000352,-3476.287554,0.037592556
3.56E-05,-3470.523869,0.039707145
0.000036,-3465.334772,0.041568276
3.64E-05,-3460.711218,0.043180373
0.0000368,-3456.643925,0.044547939
3.72E-05,-3453.123378,0.045675548
0.0000376,-3450.139844,0.046567841
3.80E-05,-3447.683379,0.047229528
0.0000384,-3445.743839,0.047665377
3.88E-05,-3444.310889,0.047880214
0.0000392,-3443.374015,0.047878917
3.96E-05,-3442.922533,0.047666417
0.00004,-3442.9456,0.047247688
4.04E-05,-3443.432222,0.046627745
0.0000408,-3444.371268,0.045811645
4.12E-05,-3445.751476,0.044804476
0.0000416,-3447.561469,0.043611358
4.20E-05,-3449.789757,0.042237438
0.0000424,-3452.424755,0.040687889
4.28E-05,-3455.454791,0.0389679
0.0000432,-3458.868112,0.037082679
4.36E-05,-3462.652899,0.035037448
0.000044,-3466.797276,0.032837437
4.44E-05,-3471.289318,0.030487883
0.0000448,-3476.117064,0.027994025
4.52E-05,-3481.268523,0.025361103
0.0000456,-3486.731685,0.022594353
4.60E-05,-3492.494535,0.019699005
0.0000464,-3498.545055,0.016680278
4.68E-05,-3504.871238,0.013543379
0.0000472,-3511.461097,0.0102935
4.76E-05,-3518.302672,0.006935812
0.000048,-3525.384043,0.003475466
4.84E-05,-3532.693333,-8.24E-05
0.0000488,-3540.218722,-0.003732723
4.92E-05,-3547.948451,-0.007470398
